Thread 1 seed: 264221
Init time: 0.006187 s

Loading weights-stage1.bin finished: 0.350813 s
Loading weights-stage2.bin finished: 0.38581 s
0->64: 1 308.364 0 528886
64->128: 1 744.727 0 528886
128->192: 1 1053.09 0 528886
192->256: 1 1745.45 0 528886
256->320: 1 2053.82 0 528886
320->384: 1 2490.18 0 528886
384->448: 1 2798.55 0 528886
448->512: 1 4002.91 0 528886
512->576: 1 4311.27 0 528886
576->640: 1 4747.64 0 528886
640->704: 1 5056 0 528886
704->768: 1 5748.36 0 528886
768->832: 1 6056.73 0 528886
832->896: 1 6493.09 0 528886
896->960: 1 6801.46 0 528886
960->1024: 0.9994 9029.82 4.08074 528886
1024->1088: 0.9994 9338.18 0 528882
1088->1152: 0.9994 9774.55 0 528882
1152->1216: 0.9994 10082.9 0 528882
1216->1280: 0.9994 10775.3 0 528882
1280->1344: 0.9994 11083.6 0 528882
1344->1408: 0.9994 11520 0 528882
1408->1472: 0.9994 11828.4 0 528882
1472->1536: 0.9994 13032.7 0 528882
1536->1600: 0.9994 13341.1 0 528882
1600->1664: 0.9994 13777.5 0 528882
1664->1728: 0.9994 14085.8 0 528882
1728->1792: 0.9994 14778.2 0 528882
1792->1856: 0.9994 15086.5 0 528882
1856->1920: 0.9994 15522.9 0 528882
1920->1984: 0.9994 15831.3 0 528882
1984->2048: 0.9994 20107.6 0 528882
2048->2112: 0.9994 20416 0 528882
2112->2176: 0.9994 20852.4 0 528882
2176->2240: 0.9994 21160.7 0 528882
2240->2304: 0.9994 21853.1 0 528882
2304->2368: 0.9994 22161.4 0 528882
2368->2432: 0.9994 22597.8 0 528882
2432->2496: 0.9994 22906.2 0 528882
2496->2560: 0.9992 24110.5 4.582 528882
2560->2624: 0.9992 24418.9 0 528877
2624->2688: 0.9992 24855.3 0 528877
2688->2752: 0.9992 25163.6 0 528877
2752->2816: 0.999 25856 5.03206 528877
2816->2880: 0.999 26164.4 0 528872
2880->2944: 0.9988 26600.7 5.23374 528872
2944->3008: 0.9988 26909.1 0 528867
3008->3072: 0.9984 29137.4 10.7638 528867
3072->3136: 0.9984 29445.8 0 528856
3136->3200: 0.9984 29882.2 0 528856
3200->3264: 0.9984 30190.5 0 528856
3264->3328: 0.9982 30882.9 6.03731 528856
